"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text"
"2008D",2008,"D","CLINTON","Irish Voice","Newspaper",,"NY",,"Jan. 30, 2008",,,,,TRUE,"Irish Voice NY (Jan. 30, 2008)"
"2008D",2008,"D","CLINTON","Washington Blade","Newspaper",,"DC",,"Dec. 21, 2007",,,,"http://p2008.org/papersp/blade122107.html",TRUE,"Washington Blade DC (Dec. 21, 2007)"
"2008D",2008,"D","OBAMA","Rolling Stone","Newspaper",,,,"March 2008","on newstands Mar. 7, 2008",,,,TRUE,"Rolling Stone (March 2008...on newstands Mar. 7, 2008)"
"2008R",2008,"R","HUCKABEE","New Man Magazine","Newspaper",,,,"July-Aug. 2007",,,,"http://www.newmanmag.com/display.php?id=15370",TRUE,"New Man Magazine (July-Aug. 2007)"
"2008R",2008,"R","PAUL","The American Conservative","Newspaper",,,,"Feb. 11, 2008","issue date",,,,TRUE,"The American Conservative (issue date Feb. 11, 2008)"
"2008R",2008,"R","ROMNEY","National Review","Newspaper",,,,"Dec. 11, 2007","issue date Dec. 31, 2007",,,,TRUE,"National Review (Dec. 11, 2007...issue date Dec. 31, 2007)"
"2008R",2008,"R","FTHOMPSON","Human Events","Newspaper",,,,"Jan. 11, 2008",,,,,TRUE,"Human Events (Jan. 11, 2008)"
"2008D",2008,"D","BIDEN","N'West Iowa Review","Newspaper",,,,"12/22/07","O'Brien County weekly",,,"http://p2008.org/papersp/nwiowareview122207.html",TRUE,"N'West Iowa Review [O'Brien County weekly] (12/22/07)"
"2008D",2008,"D","BIDEN","Storm Lake Times","Newspaper",,,,"10/20/07","Buena Vista County biweekly",,,"http://p2008.org/papersp/storml102007.html",TRUE,"Storm Lake Times [Buena Vista County biweekly] (10/20/07)"
"2008D",2008,"D","BIDEN","Jefferson Herald","Newspaper",,,,,"Greene County weekly",,,,TRUE,"Jefferson Herald [Greene County weekly]"
"2008D",2008,"D","CLINTON","Des Moines Register","Newspaper",,,,"12/16/07",,,,"http://desmoinesregister.com/apps/pbcs.dll/article?AID=/20071215/NEWS/71215018",TRUE,"Des Moines Register (12/16/07) >"
"2008D",2008,"D","CLINTON","Quad-City Times","Newspaper",,,,"12/23/07",,,,"http://p2008.org/papersp/qctimes122307hrc.html",TRUE,"Quad-City Times (12/23/07)"
"2008D",2008,"D","CLINTON","Burlington Hawk Eye","Newspaper",,,,"12/23/07",,,,"http://p2008.org/papersp/hawkeye122307.html",TRUE,"Burlington Hawk Eye (12/23/07)"
"2008D",2008,"D","CLINTON","Vinton Eagle","Newspaper",,,,"12/05/07","Benton County weekly",,,"http://p2008.org/papersp/vinton120507.html",TRUE,"Vinton Eagle [Benton County weekly] (12/05/07)"
"2008D",2008,"D","EDWARDS","The Daily Nonpareil","Newspaper",,,,"12/30/07",,,,,TRUE,"The Daily Nonpareil (12/30/07)"
