contest_id,year,party,endorsee,endorser_name,endorser_description,endorser_party_note,state,district,date_raw,note,switch_direction,switch_candidate,evidence_url,parsed_ok,raw_text
2008R,2008,R,Huckabee,Mike Rounds,Governor,,SD,,"Mar. 24, 2007",,,,,TRUE,"Gov. Mike Rounds (SD) (Mar. 24, 2007)"
2008R,2008,R,Huckabee,Don Young,U.S. Representative,,AK,,"Feb. 23, 2007",,,,http://p2008.org/cands08/endorse/huck022307pr.html,TRUE,"U.S. Rep. Don Young (AK) (Feb. 23, 2007) +"
2008R,2008,R,Huckabee,John Boozman,U.S. Representative,,AR,3,"Feb. 23, 2007",,,,,TRUE,"U.S. Rep. John Boozman (AR-3) (Feb. 23, 2007)"
2008R,2008,R,Huckabee,Duncan Hunter,U.S. Representative,,CA,52,"Jan. 23, 2008",earlier was a candidate,,,,TRUE,"U.S. Rep. Duncan Hunter (CA-52) (Jan. 23, 2008; earlier was a candidate)"
2008R,2008,R,Huckabee,John Linder,U.S. Representative,,GA,7,"Nov. 11, 2007",switched from Romney,from,Romney,http://p2008.org/huckabee/linder121107pr.html,TRUE,"U.S. Rep. John Linder (GA-7) (Nov. 11, 2007; switched from Romney) +"
2008R,2008,R,Huckabee,Bob Inglis,U.S. Representative,,SC,4,"Nov. 21, 2007",,,,,TRUE,"U.S. Rep. Bob Inglis (SC-4) (Nov. 21, 2007)"
2008R,2008,R,McCain,Arnold Schwarzenegger,Governor,,CA,,"Jan. 31, 2008",,,,,TRUE,"Gov. Arnold Schwarzenegger (CA) (Jan. 31, 2008)"
2008R,2008,R,McCain,M. Jodi Rell,Governor,,CT,,"Jan. 28, 2008",,,,,TRUE,"Gov. M. Jodi Rell (CT) (Jan. 28, 2008)"
2008R,2008,R,McCain,Charlie Crist,Governor,,FL,,"Jan. 26, 2008",,,,,TRUE,"Gov. Charlie Crist (FL) (Jan. 26, 2008)"
2008R,2008,R,McCain,Mitch Daniels,Governor,,IN,,"Feb. 22, 2007",,,,,TRUE,"Gov. Mitch Daniels (IN) (Feb. 22, 2007)"
2008R,2008,R,McCain,Tim Pawlenty,Governor,,MN,,"Jan. 15, 2007",,,,,TRUE,"Gov. Tim Pawlenty (MN) (Jan. 15, 2007)"
2008R,2008,R,McCain,"Jon Huntsman, Jr.",Governor,,UT,,Jul-06,,,,,TRUE,"Gov. Jon Huntsman, Jr. (UT) (July 2006)"
2008R,2008,R,McCain,Jim Douglas,Governor,,VT,,"Jan. 6, 2008",,,,,TRUE,"Gov. Jim Douglas (VT) (Jan. 6, 2008)"
2008R,2008,R,McCain,Jon Kyl,U.S. Senator,,AZ,,"Dec. 28, 2006",reported in the Arizona Republic,,,,TRUE,"U.S. Sen. Jon Kyl (AZ) (Dec. 28, 2006; reported in the Arizona Republic)"
2008R,2008,R,McCain,Joe Lieberman,U.S. Senator,Independent,CT,,"Dec. 17, 2007",,,,,TRUE,"U.S. Sen. Joe Lieberman (I-CT) (Dec. 17, 2007)"
2008R,2008,R,McCain,Mel Martinez,U.S. Senator,,FL,,"Jan. 25, 2008",,,,,TRUE,"U.S. Sen. Mel Martinez (FL) (Jan. 25, 2008)"
2008R,2008,R,McCain,Saxby Chambliss,U.S. Senator,,GA,,"Feb. 2, 2008",,,,,TRUE,"U.S. Sen. Saxby Chambliss (GA) (Feb. 2, 2008)"
2008R,2008,R,McCain,Johnny Isakson,U.S. Senator,,GA,,"Feb. 2, 2008",,,,,TRUE,"U.S. Sen. Johnny Isakson (GA) (Feb. 2, 2008)"
2008R,2008,R,McCain,Sam Brownback,U.S. Senator,,KS,,"Nov. 7, 2007",earlier was a candidate,,,http://p2008.org/mccain/mccain110707pr.html,TRUE,"U.S. Sen. Sam Brownback (KS) (Nov. 7, 2007; earlier was a candidate) +"
2008R,2008,R,McCain,Olympia Snowe,U.S. Senator,,ME,,"Jan. 29, 2007",,,,http://p2008.org/cands08/endorse/endme012907.html,TRUE,"U.S. Sen. Olympia Snowe (ME) (Jan. 29, 2007) +"
2008R,2008,R,McCain,Susan Collins,U.S. Senator,,ME,,"Jan. 29, 2007",,,,,TRUE,"U.S. Sen. Susan Collins (ME) (Jan. 29, 2007)"
2008R,2008,R,McCain,Trent Lott,U.S. Senator,,MS,,,"*Lott resigned effective Dec. 19, 2007.",,,,FALSE,U.S. Sen. Trent Lott (MS)*
2008R,2008,R,McCain,Pete Domenici,U.S. Senator,,NM,,"Jan. 14, 2008",,,,,TRUE,"U.S. Sen. Pete Domenici (NM) (Jan. 14, 2008)"
2008R,2008,R,McCain,Richard Burr,U.S. Senator,,NC,,"Mar. 9, 2007",,,,,TRUE,"U.S. Sen. Richard Burr (NC) (Mar. 9, 2007)"
2008R,2008,R,McCain,Tom Coburn,U.S. Senator,,OK,,"Jan. 16, 2008",,,,,TRUE,"U.S. Sen. Tom Coburn (OK) (Jan. 16, 2008)"
2008R,2008,R,McCain,Gordon Smith,U.S. Senator,,OR,,"Aug. 9, 2006",,,,,TRUE,"U.S. Sen. Gordon Smith (OR) (Aug. 9, 2006)"
2008R,2008,R,McCain,Lindsey Graham,U.S. Senator,,SC,,,,,,,TRUE,U.S. Sen. Lindsey Graham (SC)
2008R,2008,R,McCain,John Thune,U.S. Senator,,SD,,"Feb. 19, 2007",,,,,TRUE,"U.S. Sen. John Thune (SD) (Feb. 19, 2007)"
2008R,2008,R,McCain,John Warner,U.S. Senator,,VA,,"Feb. 26, 2007",,,,,TRUE,"U.S. Sen. John Warner (VA) (Feb. 26, 2007)"
2008R,2008,R,McCain,Spencer Bachus,U.S. Representative,,AL,6,"Jan. 25, 2007",,,,http://p2008.org/cands08/endorse/endsb012507.html,TRUE,"U.S. Rep. Spencer Bachus (AL-6) (Jan. 25, 2007) +"
2008R,2008,R,McCain,Rick Renzi,U.S. Representative,,AZ,1,"Jan. 10, 2007","(see for ex. Jan. 10 article in The Hill; however Renzi, under investigation, is not on the list on McCain's website)",,,,FALSE,"??U.S. Rep. Rick Renzi (AZ-1) (see for ex. Jan. 10 article in The Hill; however Renzi, under investigation, is not on the list on McCain's website)"
