"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text","post_primary"
"2012R",2012,"R","Mitt Romney","Jan Brewer","Governor",,"AZ",,"02/26/12",,,,"https://www.p2012.org/romney/romney022612praz.html",TRUE,"Gov. Jan Brewer (AZ) 02/26/12 +",FALSE
"2012R",2012,"R","Mitt Romney","Butch Otter","Governor",,"ID",,"06/20/11",,,,"../romney/romney062011prid.html",TRUE,"Gov. Butch Otter (ID) 06/20/11 +",FALSE
"2012R",2012,"R","Mitt Romney","Rick Snyder","Governor",,"MI",,"02/16/12",,,,"https://www.p2012.org/romney/romney021612prmi.html",TRUE,"Gov. Rick Snyder (MI) 02/16/12 +",FALSE
"2012R",2012,"R","Mitt Romney","Phil Bryant","Governor",,"MS",,"03/08/12",,,,"https://www.p2012.org/romney/romney030812prms.html",TRUE,"Gov. Phil Bryant (MS) 03/08/12 +",FALSE
"2012R",2012,"R","Mitt Romney","Dave Heineman","Governor",,"NE",,"06/10/11",,,,"../romney/romney061111prut.html",TRUE,"Gov. Dave Heineman (NE) 06/10/11 +",FALSE
"2012R",2012,"R","Mitt Romney","Chris Christie","Governor",,"NJ",,"10/11/11",,,,"../romney/romney101111prnj.html",TRUE,"Gov. Chris Christie (NJ) 10/11/11 +",FALSE
"2012R",2012,"R","Mitt Romney","Nikki Haley","Governor",,"SC",,"12/16/11",,,,"https://www.p2012.org/romney/romney121611prsc.html",TRUE,"Gov. Nikki Haley (SC) 12/16/11 +",FALSE
"2012R",2012,"R","Mitt Romney","Bill Haslam","Governor",,"TN",,"01/11/12",,,,"https://www.p2012.org/romney/romney011112prtn.html",TRUE,"Gov. Bill Haslam (TN) 01/11/12 +",FALSE
"2012R",2012,"R","Mitt Romney","Bob McDonnell","Governor",,"VA",,"01/20/12",,,,"https://www.p2012.org/romney/romney012012prva.html",TRUE,"Gov. Bob McDonnell (VA) 01/20/12 +",FALSE
"2012R",2012,"R","Mitt Romney","Gary Herbert","Governor",,"UT",,"02/02/12",,,,"https://www.p2012.org/romney/romney020212prut.html",TRUE,"Gov. Gary Herbert (UT) 02/02/12 +",FALSE
"2012R",2012,"R","Mitt Romney","Luis Fortuño","Governor",,"PR",,"01/27/12",,,,"https://www.p2012.org/romney/romney012712prpr.html",TRUE,"Gov. Luis Fortuño (PR) 01/27/12 +",FALSE
"2012R",2012,"R","Mitt Romney","Eddie Baza Calvo","Governor",,"GU",,"03/09/12",,,,,TRUE,"Gov. Eddie Baza Calvo (GU) 03/09/12",FALSE
"2012R",2012,"R","Mitt Romney","Benigno R. Fitial","Governor",,"CNMI",,"03/09/12","19 Senators",,,,TRUE,"Gov. Benigno R. Fitial (CNMI) 03/09/12 19 Senators",FALSE
"2012R",2012,"R","Mitt Romney","Lisa Murkowski","U.S. Senator",,"AK",,"12/02/11",,,,"https://www.p2012.org/romney/romney120211prak.html",TRUE,"Sen. Lisa Murkowski (AK) 12/02/11 +",FALSE
"2012R",2012,"R","Mitt Romney","John McCain","U.S. Senator",,"AZ",,"01/05/12",,,,"https://www.p2012.org/romney/romney010512praz.html",TRUE,"Sen. John McCain (AZ) 01/05/12 +",FALSE
"2012R",2012,"R","Mitt Romney","Jim Risch","U.S. Senator",,"ID",,"06/20/11",,,,"https://www.p2012.org/romney/romney062011prid.html",TRUE,"Sen. Jim Risch (ID) 06/20/11 +",FALSE
"2012R",2012,"R","Mitt Romney","Mark Kirk","U.S. Senator",,"IL",,"12/19/11",,,,"https://www.p2012.org/romney/romney121911pril.html",TRUE,"Sen. Mark Kirk (IL) 12/19/11 +",FALSE
