"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text"
"2012D",2012,"D","Barack Obama","National Association of Police Organizations (NAPO)","National Organization",,,,"07/25/12",,,,"napo072512.html",TRUE,"National Association of Police Organizations (NAPO) 07/25/12"
"2012D",2012,"D","Barack Obama","Feminist Majority","National Organization",,,,"07/11/12",,,,"feministmajority071112pr.html",TRUE,"Feminist Majority 07/11/12"
"2012D",2012,"D","Barack Obama","National Organization for Women PAC","National Organization",,,,"07/11/12",,,,"nowpac071112pr.html",TRUE,"National Organization for Women PAC 07/11/12"
"2012D",2012,"D","Barack Obama","MoveOn Political Action","National Organization",,,,"06/21/12",,,,"moveon062112pr.html",TRUE,"MoveOn Political Action 06/21/12"
"2012D",2012,"D","Barack Obama","Planned Parenthood Action Fund","National Organization",,,,"05/30/12",,,,"ppaf053012pr.html",TRUE,"Planned Parenthood Action Fund 05/30/12"
"2012D",2012,"D","Barack Obama","NARAL Pro Choice America PAC","National Organization",,,,"05/15/12",,,,"naral051512pr.html",TRUE,"NARAL Pro Choice America PAC 05/15/12"
"2012D",2012,"D","Barack Obama","Sierra Club, League of Conservation Voters, Environment Action, Clean Water Action","National Organization",,,,"04/18/12",,,,"env041812pr.html",TRUE,"Sierra Club, League of Conservation Voters, Environment Action, Clean Water Action 04/18/12"
"2012D",2012,"D","Barack Obama","Human Rights Campaign","National Organization",,,,"05/26/11",,,,"hrcpac052611pr.html",TRUE,"Human Rights Campaign 05/26/11"
"2012D",2012,"D","Barack Obama","Flight Attendants Union Coalition","Labor Union",,,,"09/27/12",,,,"fauc092712pr.html",TRUE,"Flight Attendants Union Coalition 09/27/12"
"2012D",2012,"D","Barack Obama","American Postal Workers Union (APWU)","Labor Union",,,,"08/22/12",,,,"apwu082212.html",TRUE,"American Postal Workers Union (APWU) 08/22/12"
"2012D",2012,"D","Barack Obama","International Association of Fire Fighters (IAFF)","Labor Union",,,,"06/08/12",,,,"iaff060812pr.html",TRUE,"International Association of Fire Fighters (IAFF) 06/08/12"
"2012D",2012,"D","Barack Obama","American Federation of Government Employees (AFGE)","Labor Union",,,,"05/10/12",,,,"afge0612email.html",TRUE,"American Federation of Government Employees (AFGE) 05/10/12"
"2012D",2012,"D","Barack Obama","International Brotherhood of Teamsters","Labor Union",,,,"05/07/12",,,,"teamsters050712pr.html",TRUE,"International Brotherhood of Teamsters 05/07/12"
"2012D",2012,"D","Barack Obama","Building and Construction Trades Department, AFL-CIO","Labor Union",,,,"05/01/12",,,,"buildingtrades050112pr.html",TRUE,"Building and Construction Trades Department, AFL-CIO 05/01/12"
"2012D",2012,"D","Barack Obama","International Union of Bricklayers and Allied Craftworkers (BAC)","Labor Union",,,,"04/24/12",,,,"bac042412pr.html",TRUE,"International Union of Bricklayers and Allied Craftworkers (BAC) 04/24/12"
"2012D",2012,"D","Barack Obama","American Federation of School Administrators (AFSA)","Labor Union",,,,"04/22/12",,,,"afsa050912pr.html",TRUE,"American Federation of School Administrators (AFSA) 04/22/12"
"2012D",2012,"D","Barack Obama","Bakery, Confectionery, Tobacco Workers and Grain Millers (BCTGM)","Labor Union",,,,"04/05/12",,,,"bctgm040512pr.html",TRUE,"Bakery, Confectionery, Tobacco Workers and Grain Millers (BCTGM) 04/05/12"
"2012D",2012,"D","Barack Obama","AFL-CIO","Labor Union",,,,"03/13/12",,,,"aflcio031312pr.html",TRUE,"AFL-CIO 03/13/12"
"2012D",2012,"D","Barack Obama","International Brotherhood of Boilermakers (IBB)","Labor Union",,,,"03/09/12",,,,"ibb030912pr.html",TRUE,"International Brotherhood of Boilermakers (IBB) 03/09/12"
"2012D",2012,"D","Barack Obama","Laborers International Union of North America (LIUNA)","Labor Union",,,,"03/08/12",,,,"https://www.p2012.org/interestg/liuna030812pr.html",TRUE,"Laborers International Union of North America (LIUNA) 03/08/12"
"2012D",2012,"D","Barack Obama","United Steelworkers (USW)","Labor Union",,,,"03/06/12",,,,"https://www.p2012.org/interestg/usw030612pr.html",TRUE,"United Steelworkers (USW) 03/06/12"
"2012D",2012,"D","Barack Obama","United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry (UA)","Labor Union",,,,"03/01/12",,,,"ua030112pr.html",TRUE,"United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry (UA) 03/01/12"
"2012D",2012,"D","Barack Obama","International Association of Machinists (IAM)","Labor Union",,,,"02/24/12",,,,"iam022412pr.html",TRUE,"International Association of Machinists (IAM) 02/24/12"
"2012D",2012,"D","Barack Obama","American Federation of Teachers (AFT)","Labor Union",,,,"02/07/12",,,,"aft020712pr.html",TRUE,"American Federation of Teachers (AFT) 02/07/12"
"2012D",2012,"D","Barack Obama","Communications Workers of America (CWA)","Labor Union",,,,"02/02/12",,,,"cwa020212pr.html",TRUE,"Communications Workers of America (CWA) 02/02/12"
"2012D",2012,"D","Barack Obama","United Farm Workers (UFW)","Labor Union",,,,"01/12/12",,,,"https://www.p2012.org/interestg/ufw011212pr.html",TRUE,"United Farm Workers (UFW) 01/12/12"
"2012D",2012,"D","Barack Obama","American Federation of State, County and Municipal Employees (AFSCME)","Labor Union",,,,"12/06/11",,,,"afscme120611pr.html",TRUE,"American Federation of State, County and Municipal Employees (AFSCME) 12/06/11"
"2012D",2012,"D","Barack Obama","Retail, Wholesale and Department Store Union UFCW (RWDSU)","Labor Union",,,,"11/17/11",,,,"../../interestg/rwdsu111711pr.html",TRUE,"Retail, Wholesale and Department Store Union UFCW (RWDSU) 11/17/11"
"2012D",2012,"D","Barack Obama","Service Employees International Union (SEIU)","Labor Union",,,,"11/16/11",,,,"https://www.p2012.org/interestg/seiu111611pr.html",TRUE,"Service Employees International Union (SEIU) 11/16/11"
"2012D",2012,"D","Barack Obama","United Food and Commercial Workers Union (UFCW)","Labor Union",,,,"10/20/11",,,,"ufcw102011pr.html",TRUE,"United Food and Commercial Workers Union (UFCW) 10/20/11"
"2012D",2012,"D","Barack Obama","National Education Association (NEA)","Labor Union",,,,"07/04/11",,,,"../../interestg/nea070411pr.html",TRUE,"National Education Association (NEA) 07/04/11"
"2012R",2012,"R","Mitt Romney","Log Cabin Republicans","National Organization",,,,"10/23/12",,,,"logcabin102312pr.html",TRUE,"Log Cabin Republicans 10/23/12"
"2012R",2012,"R","Mitt Romney","National Rifle Association Political Victory Fund","National Organization",,,,"10/04/12",,,,"nrapvf100412pr.html",TRUE,"National Rifle Association Political Victory Fund 10/04/12"
"2012R",2012,"R","Mitt Romney","CatholicVote.org","National Organization",,,,"08/13/12",,,,"catholicvoteorg081312pr.html",TRUE,"CatholicVote.org 08/13/12"
"2012R",2012,"R","Mitt Romney","GOProud","National Organization",,,,"06/20/12",,,,"goproud062012pr.html",TRUE,"GOProud 06/20/12"
